"Phone Number",Carrier,Status
07700900332,"Telefonica U.K.",Yes
"07700 900708","Telefonica U.K.",Yes
"07700 900478","Telefonica U.K.",Yes
"07700 900326","Telefonica U.K.",Yes
"07700 900110","Telefonica U.K.",Yes
"07700 900649","Telefonica U.K.",Yes
"+44 7700 900332","Telefonica U.K.",Yes
+447700900708,"Telefonica U.K.",Yes
"+44 7700 900478","Telefonica U.K.",Yes
"+44 7700 900326","Telefonica U.K.",Yes
"+44 7700 900110","Telefonica U.K.",Yes
"+44 7700 900649","Telefonica U.K.",Yes
"044 5567882833","Telefonica U.K.",No
123456980,"Telefonica U.K.",No
+447517302306,"Telefonica U.K.",Yes
